Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Šifra modela;Veličina;Šifra boje;Boja prednjeg dijela;MPC;Ime branda;Šifra branda;Vodič za veličinu;Spol;Oblik;Tip;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Fleksibilni;Veličina mosta;Naziv proizvoda;širina fronte
VO4306;vo4306;;VO4306__280,VO4306__5152,VO4306__5074;Default;Eyewear;Zlatna, Ružičasta;;VO4306;53;280,5152;Zlatna, Ružičasta;92;VOGUE;VO;M;Žene;Okrugli;Puni okvir;Metal;53;47;Metal;140;;18;VOGUE;137
VO4306-M-Zlatna-280;vo4306-m-zlatna-280;280;VO4306__280;Default;Eyewear;Zlatna;zlatna;VO4306;53;280,5152;Zlatna, Ružičasta;92;VOGUE;VO;M;Žene;Okrugli;Puni okvir;Metal;53;47;Metal;140;;18;VOGUE;137
VO4306-M-Ruzicasta-5152;vo4306-m-ruzicasta-5152;5152;VO4306__5152;Default;Eyewear;Ružičasta;roza;VO4306;53;280,5152;Zlatna, Ružičasta;92;VOGUE;VO;M;Žene;Okrugli;Puni okvir;Metal;53;47;Metal;140;;18;VOGUE;137
VO4306-S-Smeda-5074;vo4306-s-smeda-5074;5074;VO4306__5074;Default;Eyewear;Smeđa;smeđa;VO4306;51;5074;Smeđa;92;VOGUE;VO;S;Žene;Okrugli;Puni okvir;Metal;51;45;Metal;140;;18;VOGUE;132
VO4306-M-Smeda-5074;vo4306-m-smeda-5074;5074;VO4306__5074;Default;Eyewear;Smeđa;smeđa;VO4306;53;5074;Smeđa;92;VOGUE;VO;M;Žene;Okrugli;Puni okvir;Metal;53;47;Propionat;140;;18;VOGUE;137
VO5236;vo5236;;VO5236__2760;Default;Eyewear;Plava;;VO5236;51;2760;Plava;92;VOGUE;VO;M;Muškarci;Ovalni;Puni okvir;Acetat;51;45;Acetat;145;;19;VOGUE;138
VO5236-M-Plava-2760;vo5236-m-plava-2760;2760;VO5236__2760;Default;Eyewear;Plava;plava;VO5236;51;2760;Plava;92;VOGUE;VO;M;Muškarci;Ovalni;Puni okvir;Acetat;51;45;Acetat;145;;19;VOGUE;138
VO5434;vo5434;;VO5434__2319;Default;Eyewear;Plava;;VO5434;49;2319;Plava;92;VOGUE;VO;M;Muškarci;Ovalni;Puni okvir;Acetat;49;47;Metal;145;;19;VOGUE;138
VO5434-M-Plava-2319;vo5434-m-plava-2319;2319;VO5434__2319;Default;Eyewear;Plava;plava;VO5434;49;2319;Plava;92;VOGUE;VO;M;Muškarci;Ovalni;Puni okvir;Acetat;49;47;Metal;145;;19;VOGUE;138
VO5367;vo5367;;VO5367__W44;Default;Eyewear;Crna;;VO5367;50;W44;Crna;92;VOGUE;VO;M;Muškarci;Ovalni;Puni okvir;Acetat;50;47;Acetat;145;;20;VOGUE;138
